Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
788,Lupac c. / Kiskrassó község (CS),3023,161,1,7,1,16,0,0,0,1,0,0,2823,0,0,1,0,0,0,0,0,12,0,122,2882,0,1,1,5,8,4,0,0,0,0,0,0,0,0,0,0,0
789,Marga c. / Márga község (CS),1300,1265,7,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,6,0,27,1,132,1,0,0,13,0,0,0,0,0,1,0,0,0
790,Mãureni c. / Móricföld község (CS),2647,2521,41,1,4,66,0,0,0,10,1,0,1,0,0,0,0,2,0,0,0,0,0,2083,141,8,385,1,6,2,0,0,2,0,3,1,0,0,13,0,0,2
791,Mehadia c. / Mehádia község (CS),4474,4444,11,1,3,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4367,23,2,11,0,66,1,0,0,0,0,0,0,0,1,1,0,0,2
792,Mehadica c. / Kismiháld község (CS),922,894,5,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,904,7,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
793,Naidãº c. / Néranádas község (CS),1314,1267,2,0,3,4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,2,0,88,0,107,0,0,0,0,0,0,1,0,0,0,0,0,0
794,Obreja c. / Bisztranyires község (CS),3249,3171,15,50,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2462,25,3,378,0,306,63,0,0,2,1,0,0,0,0,9,0,0,0
795,Ocna de Fier c. / Vaskõ község (CS),792,769,5,0,4,10,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,650,25,0,110,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
796,Pãltiniº c. / Ökörpatak község (CS),2683,1728,3,6,929,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,13,0,2364,7,2,164,1,106,1,0,0,6,0,0,0,0,0,10,11,0,11
797,Pojejena c. / Alsópozsgás község (CS),3300,1515,15,38,1,5,0,0,0,1719,0,0,1,0,0,6,0,0,0,0,0,0,0,2780,16,1,2,5,487,0,0,1,0,0,2,0,0,0,6,0,0,0
